,Date,Adj Close,Close,High,Low,Open,Volume,DateOrdinal
1520,2000-01-01,57.09081268,57.10699844,57.59999847,56.10699844,57.25999832,491650000,730120
1521,2000-01-01,59.47414017,59.49100113,59.5,57.22499847,57.98899841,543501000,730120
1522,2000-01-01,59.63709641,59.65399933,60.33100128,59.06999969,60.04899979,452955000,730120
1523,2000-01-01,59.85603333,59.8730011,59.90999985,58.58499908,59.56999969,294654000,730120
1524,2000-01-01,61.34460831,61.36199951,62.84899902,59.93799973,60.30400085,560271000,730120
1525,2000-01-01,61.59953308,61.61700058,62.71900177,60.84999847,62.34999847,482777000,730120
1526,2000-01-01,61.01370239,61.03099823,61.78300095,60.57300186,60.95999908,390309000,730120
1527,2000-01-01,62.44729614,62.46500015,62.48899841,60.9070015,61.23199844,348733000,730120
1528,2000-01-01,62.7562027,62.77399826,63.49300003,62.25999832,62.90000153,410735000,730120
1529,2000-01-01,61.50956345,61.52700043,62.26900101,60.70000076,61.43999863,453795000,730120
1530,2024-01-02,63.0091362,63.02700043,63.19100189,61.65000153,62.09999847,369146000,738887
1531,2024-02-02,66.14125061,66.16000366,66.59999847,63.68999863,63.97399902,476578000,738918
1532,2024-05-02,69.31235504,69.33200073,69.49700165,67.20500183,68.22499847,680078000,739008
1533,2024-06-02,68.20366669,68.22299957,69.7539978,66.30000305,69.62999725,683111000,739039
1534,2024-07-02,70.07912445,70.09899902,70.22000122,67.59999847,68.31900024,495575000,739069
1535,2024-08-02,69.62125397,69.64099884,70.79399872,69.45500183,70.0739975,414422000,739100
1536,2024-09-02,72.11255646,72.13300323,72.18499756,70.21199799,70.53299713,436637000,739131
1537,2024-12-02,72.2275238,72.2480011,74.61100006,71.25,72.59999847,613710000,739222
1538,2000-01-01,72.10755157,72.12799835,73.44999695,69.62000275,70.40000153,602580000,730120
1539,2000-01-01,73.87905884,73.90000153,74.23600006,71.93800354,73.20200348,504917000,730120
1540,2000-01-01,72.6374054,72.65799713,73.97499847,72.40000153,73.8690033,420122000,730120
1541,2000-01-01,72.59241486,72.61299896,74.40200043,72.50099945,74.09999847,495327000,730120
1542,2000-01-01,69.43231201,69.45200348,71.95600128,67.73400116,71.9469986,704833000,730120
1543,2000-01-01,67.45288086,67.47200012,68.88800049,66.2480011,68.0059967,690298000,730120
1544,2000-01-01,78.51573944,78.53800201,78.57499695,74.22000122,75.02500153,865100000,730120
1545,2000-01-01,78.79464722,78.81700134,82.39399719,77.56999969,80.79000092,829388000,730120
1546,2000-01-01,79.06958771,79.09200287,80.64600372,78.50499725,79.69999695,503973000,730120
1547,2000-01-01,78.67868805,78.7009964,79.48000336,77.16200256,79.3809967,391705000,730120
1548,2000-01-01,77.64099121,77.66300201,78.93299866,77.125,77.62000275,393110000,730120
1549,2000-01-01,79.08957672,79.11199951,79.98999786,78.34999847,79.09400177,507289000,730120
1550,2024-01-03,82.25567627,82.27899933,82.30000305,79.43499756,80.0,479135000,738888
1551,2024-04-03,85.21282959,85.23699951,87.69499969,83.71900177,84.12999725,615616000,738979
1552,2024-05-03,85.94366455,85.96399689,86.09700012,83.41699982,85.26999664,520639000,739009
1553,2024-06-03,88.67901611,88.69999695,89.72399902,87.02999878,88.02200317,582520000,739040
1554,2024-07-03,92.64707184,92.66899872,92.76699829,89.60199738,90.15799713,608119000,739070
1555,2024-08-03,87.50730133,87.52799988,97.40000153,86.5059967,95.13800049,1142269000,739101
1556,2024-11-03,85.75370789,85.77400208,88.79699707,84.16600037,86.42900085,678364000,739193
1557,2024-12-03,91.89125824,91.91300201,91.95999908,86.15000153,88.0490036,668075000,739223
1558,2000-01-01,90.86650085,90.88800049,91.5039978,88.43499756,91.05500031,635713000,730120
1559,2000-01-01,87.92319489,87.94400024,90.64600372,86.59999847,89.57700348,602318000,730120
1560,2000-01-01,87.81621552,87.83699799,89.54599762,86.25700378,86.93000031,642086000,730120
1561,2000-01-01,88.4340744,88.45500183,92.40499878,87.08499908,90.38800049,668976000,730120
1562,2000-01-01,89.37686157,89.39800262,90.54399872,85.01000214,86.69999695,672171000,730120
1563,2000-01-01,90.35062408,90.37200165,90.41000366,88.22299957,89.79699707,479063000,730120
1564,2000-01-01,91.41336823,91.43499756,92.64800262,90.40499878,92.30000305,480372000,730120
1565,2000-01-01,94.26670074,94.28900146,94.77799988,90.83399963,91.14099884,586719000,730120
1566,2000-01-01,94.97952271,95.0019989,96.76599884,93.51000214,93.94100189,552136000,730120
1567,2000-01-01,92.53910065,92.56099701,96.375,92.5019989,95.85099792,513648000,730120
1568,2000-01-01,90.22864532,90.25,93.23999786,89.1230011,93.11199951,586067000,730120
1569,2000-01-01,90.33462524,90.35600281,91.30000305,89.19300079,90.0,435212000,730120
1570,2024-01-04,90.3416214,90.36299896,92.22499847,89.20400238,90.2990036,452441000,738889
1571,2024-02-04,89.43083954,89.45200348,90.09400177,87.62000275,88.44799805,433064000,738920
1572,2024-03-04,88.94295502,88.96399689,90.37400055,88.40000153,88.48400116,370067000,738949
1573,2024-04-04,85.88467407,85.90499878,90.63400269,85.87999725,90.40599823,434965000,738980
1574,2024-05-04,87.98718262,88.00800323,88.48100281,85.9260025,86.86599731,399678000,739010
1575,2024-08-04,87.11238861,87.13300323,88.83000183,86.73200226,88.69999695,283220000,739102
1576,2024-09-04,85.33380127,85.35399628,87.63500214,83.02200317,87.44200134,503547000,739133
1577,2024-10-04,87.01840973,87.03900146,87.40000153,83.70899963,83.9260025,431929000,739163
1578,2024-11-04,90.59455872,90.61599731,90.73899841,86.9260025,87.41999817,431637000,739194
1579,2024-12-04,88.16513824,88.18599701,90.17500305,87.52999878,89.6989975,426805000,739224
1580,2000-01-01,85.98065186,86.00099945,90.61299896,85.92900085,89.09799957,443077000,730120
1581,2000-01-01,87.39432526,87.41500092,88.11799622,86.06400299,86.43299866,370453000,730120
1582,2000-01-01,84.01512146,84.03500366,88.77500153,83.94999695,88.33999634,495400000,730120
1583,2000-01-01,84.65096283,84.67099762,86.19000244,82.40200043,84.97000122,447260000,730120
1584,2000-01-01,76.18197632,76.19999695,84.3239975,75.60600281,83.15000153,875198000,730120
1585,2000-01-01,79.49919128,79.51799774,80.07299805,76.40000153,78.10399628,596341000,730120
1586,2000-01-01,82.40350342,82.42299652,82.76899719,80.26399994,80.76899719,438559000,730120
1587,2000-01-01,79.65815735,79.67700195,84.08200073,79.18299866,83.94999695,512208000,730120
1588,2000-01-01,82.61245728,82.63200378,83.32299805,78.22299957,78.86799622,424641000,730120
1589,2000-01-01,87.71424103,87.73500061,88.33100128,83.38700104,83.81800079,551011000,730120
1590,2000-01-01,87.7362442,87.75700378,87.99199677,85.26599884,87.59500122,388971000,730120
1591,2000-01-01,86.38156128,86.40200043,88.81900024,86.30000305,87.23999786,363709000,730120
1592,2024-01-05,83.02135468,83.04100037,86.0,81.25499725,85.07700348,559863000,738890
1593,2024-02-05,85.79669952,85.81700134,86.23699951,83.19999695,84.4489975,377898000,738921
1594,2024-03-05,88.76799774,88.78900146,89.28099823,87.04000092,87.78900146,398341000,738950
1595,2024-06-05,92.11820221,92.13999939,92.22000122,89.05500031,89.38999939,376203000,739042
1596,2024-07-05,90.53257751,90.55400085,91.78099823,89.01100159,91.09799957,437342000,739072
1597,2024-08-05,90.39061737,90.41200256,91.19400024,89.41999817,89.48300171,325721000,739103
1598,2024-09-05,88.72601318,88.74700165,91.0719986,88.23100281,90.52899933,378013000,739134
1599,2024-10-05,89.8567276,89.87799835,91.40100098,89.22699738,90.30500031,335325000,739164
